cy_id,contract_target,adolescent_fert_1000,working_age_pop_ratio,fixed_phone_subs,dfi_inflows_usd,gdp_usd,gdp_growth_pct,imp_sanitation_access_pct,imp_water_access_pct,inflation_pct,internet_access_pct,merch_exports_usd,merch_imports_usd,mortality_rate_under5_opct,pop_over_65,pop_under_15,pop_female_pct,pop_total,pop_rural_pct
Tajikistan_2013,0,38.9126,61.739721657295505,425000.0,-54166500.0,3944940642.20568,7.40000000000023,94.7,72.7,4.3469791606818085,16.0,1161000000.0,4150700000.0,47.8,3.127654281478529,35.0446147348572,49.45803039339521,8111894.0,73.37899999999999
Tajikistan_2014,0,38.3492,61.243072789356795,440700.0,260785960.0,4209222099.7285104,6.699250546265942,95.0,73.7,5.4637431157646,17.49,1180000000.0,4520000000.0,46.3,3.0559774537599504,34.9258544041351,49.3855112924068,8295840.0,73.308
Tanzania_2004,0,131.3694,92.26157886241043,148360.0,226732347.28,15650785352.5943,7.82829838095938,10.6,54.6,7.02232379724509,0.8775749709925901,1479100000.0,2726280000.0,99.4,2.95551371710606,45.032014216614,50.335942738767,37935334.0,75.777
Tanzania_2005,0,131.0586,92.48170564995708,154360.0,935520591.71,16929976600.142,8.17333583413813,11.0,54.7,26.461657636458398,1.1,1679100000.0,3287060000.0,92.4,2.9789098337156004,45.068100835517704,50.3539763884338,39065600.0,75.155
Tanzania_2006,0,130.7478,92.8428038025732,152000.0,403038991.36,17719010179.1098,4.66057099548016,11.4,54.8,16.4712315010769,1.3,1864681000.0,4246220000.0,85.8,3.01356054431741,45.1307320981101,50.36252217942661,40260847.0,74.52199999999999
Tanzania_2007,0,130.437,92.96059625292507,163269.0,581511806.98,19218814752.8999,8.46438124155671,11.8,54.9,5.935489656737161,1.6,2139347000.0,5337060000.0,79.5,3.0456092629825897,45.1303386031175,50.3637733862749,41522004.0,73.87899999999999
Tanzania_2008,0,128.8914,92.9511977592038,123809.0,1383260000.0,20288648458.5905,5.5665956483045305,12.2,55.0,15.938446768535199,1.9,3121079000.0,7702680659.69523,73.7,3.0749746106547,45.09844894860379,50.3597640821474,42844744.0,73.22399999999999
Tanzania_2009,0,127.3458,92.9702617013395,172922.0,952630000.0,21380653751.5288,5.38234616843563,12.6,55.1,9.262971648224287,2.4,2982405000.0,6410900000.0,68.6,3.1021923353142404,45.076351281541,50.353435169414,44222113.0,72.561
Tanzania_2010,0,125.8002,93.0830999835631,174511.0,1813200000.0,22740225167.0255,6.35888608129918,13.1,55.2,9.246385044962311,2.9,4050546000.0,7874200000.0,63.4,3.12861587532127,45.08021233982921,50.346737380890204,45648525.0,71.88600000000001
Tanzania_2011,0,124.2546,93.2966905175177,161063.0,1229361018.44368,24537727987.3219,7.90450757234741,13.6,55.3,11.5463456662954,3.2,4734960000.0,10799400000.0,58.9,3.14658672608224,45.1194701152079,50.3399062173421,47122998.0,71.202
Tanzania_2012,0,122.709,93.56742002801701,176367.0,1799646137.4344802,25799215925.3539,5.14101362067316,14.0,55.4,10.7419367862317,3.95,5547229000.0,11346000000.0,55.7,3.16452577554169,45.17388779347421,50.33222149151939,48645709.0,70.507
Tanzania_2013,0,121.0462,93.8222064426837,164999.0,2087261309.71598,27673028465.3771,7.2630600303699016,14.5,55.4,7.67420312474007,4.4,4412549000.0,12119900000.0,53.3,3.18062745610206,45.225697167195605,50.32342624806729,50213457.0,69.804
Tanzania_2014,0,119.3834,93.92429102589821,151274.0,2044550442.81909,29600491692.4892,6.9651329615898,15.0,55.5,4.67392497441897,4.86,4645000000.0,12390000000.0,50.5,3.1931480269977097,45.24033626164911,50.313097826526395,51822621.0,69.09899999999999
Thailand_2004,0,42.1208,42.8452536371915,6811615.0,5860255942.601028,181708833946.49695,6.289288548619009,92.8,93.8,3.569164221552509,10.6773033237281,96248200000.0,94409800000.0,18.7,7.499981423302809,22.494192374038,50.5898475949415,65404522.0,63.744
Thailand_2005,0,42.2272,42.59020857506921,7034662.0,8222768955.271991,189318499954.00305,4.1878349237258,93.2,94.3,5.0914966099465495,15.026004358890901,110936420000.0,118177580000.0,17.8,7.709982815643389,22.1589745276982,50.5895309412932,65863973.0,62.48
Thailand_2006,0,42.3336,41.6894706230428,7071633.0,8926154245.971529,198723685564.043,4.96791682393713,93.5,94.7,5.10427243645672,17.160714716928506,129721710000.0,128773170000.0,17.0,7.94160154111359,21.481523861023998,50.5909724784262,66174486.0,61.196000000000005
Thailand_2007,0,42.44,40.8819217629153,7024049.0,8620806613.992079,209524501832.762,5.43509256989793,93.5,95.2,2.4733287620729505,20.03,153867440000.0,139965680000.0,16.3,8.16361174949255,20.854960151956803,50.5927171486714,66353572.0,59.896
Thailand_2008,0,42.8914,40.1522052212017,7394349.0,8566235387.495741,213140198920.999,1.72566790833977,93.5,95.6,5.13377532094729,18.2,177777630000.0,179224720000.0,15.6,8.388531156224019,20.2604688062308,50.59607990609339,66453255.0,58.581
Thailand_2009,0,43.3428,39.532404285830296,7204936.0,6427288798.76245,211566627910.35,-0.738279788896918,93.4,96.0,0.194580137209854,20.1,152422240000.0,133708500000.0,15.0,8.630807833907209,19.7012520113806,50.6023701889324,66548197.0,57.256
Thailand_2010,0,43.7942,39.070759845265606,6835146.0,14714893497.7218,227448322636.80606,7.50671071487929,93.3,96.4,4.0822678368980005,22.4,193305550000.0,182920960000.0,14.5,8.898789756328279,19.195368849504398,50.6124510481193,66692024.0,55.92
Thailand_2011,0,44.2456,38.893867832819794,6661000.0,2468144240.1574802,229344519381.156,0.833682448113152,93.3,96.8,3.74594242885516,23.669925618730996,222575750000.0,228786630000.0,14.0,9.157059991278713,18.845521000730606,50.6270948438483,66902958.0,54.606
Thailand_2012,0,44.696999999999996,38.814904869170796,6377000.0,12894549139.4238,246139191582.29105,7.3229010426987315,93.2,97.1,1.86879543503906,26.46,229236120000.0,249987930000.0,13.5,9.435253609329859,18.5263726337258,50.646100827927,67164130.0,53.318000000000005
Thailand_2013,0,44.6664,38.8466983826049,6056000.0,15822132057.2218,253054235069.322,2.8094036721975897,93.1,97.5,1.6398517592656698,28.94,228504900000.0,250406790000.0,13.1,9.740725703306893,18.237396092257303,50.66807635278621,67451422.0,52.056999999999995
Thailand_2014,0,44.6358,38.9919181446816,5690000.0,3718726246.74416,255244833669.89105,0.8656636787642209,93.0,97.8,0.973794205439063,34.89,227573580000.0,227952300000.0,12.6,10.083877857269501,17.9694929179244,50.6910206495502,67725979.0,50.826
Timor-Leste_2005,0,67.5222,103.39933280434099,2334.0,908000.0,491000000.0,6.239460370994951,37.8,60.9,-0.823284964915857,0.0990317678179026,8086000.0,109109000.0,83.3,2.5995025755510097,48.2361240104821,49.304444581438894,979201.0,73.686
Timor-Leste_2006,0,66.6656,97.68192336851459,2504.0,8478084.462000001,462942857.142857,-5.71428571428572,38.0,62.4,0.0123433931987762,0.116628276525644,8444000.0,100803000.0,78.5,2.83442203356046,46.5792466994384,49.2917911639258,996052.0,73.066
Timor-Leste_2007,0,65.809,92.56788476268127,2440.0,8695061.688,515939682.539683,11.4478114478114,38.3,63.8,8.33262644124422,0.140958763923202,8367000.0,182617000.0,74.1,3.0948802185588904,44.97534847513061,49.271715129230785,1013194.0,72.436
Timor-Leste_2008,0,63.0882,88.2326082589082,2641.0,39697970.75268871,589200000.0,14.199395770392801,38.5,65.2,8.713594760106371,0.16387681561855302,12999000.0,268584000.0,70.2,3.39523627069157,43.479045314114195,49.248192139992106,1030630.0,71.797
Timor-Leste_2009,0,60.3674,85.1165755533896,2907.0,47954750.66,665577777.777778,12.9629629629629,38.8,66.7,4.34166391080456,0.18525150979980495,8490000.0,295094000.0,66.7,3.7764427299350096,42.203552029271606,49.2273669236831,1048367.0,71.15
Timor-Leste_2010,0,57.6466,83.6429325448556,2907.0,30332806.77,727926984.126984,9.36768149882906,39.1,68.2,4.400977995110041,0.21,16395000.0,246311000.0,63.8,4.28597645304895,41.260516761546896,49.213714216523705,1066409.0,70.493
Timor-Leste_2011,0,54.9258,84.2492414711759,3054.0,49058168.54,797290476.190476,9.528907922912213,39.5,69.7,11.241446725317699,0.9,13202000.0,318778000.0,61.1,4.614876364372,41.1108182798473,49.2082420040052,1120392.0,69.829
Timor-Leste_2012,0,52.205,86.48084969632829,3000.0,40382443.85,847949206.349206,6.353861192570862,39.8,71.2,6.997651323270942,0.9147,30793000.0,664014000.0,58.7,4.96381374787221,41.41139086596571,49.2090382151503,1148958.0,69.168
Timor-Leste_2013,0,49.964,89.3439295553406,3000.0,55857105.62,871330158.7301589,2.75735294117648,40.1,71.4,-0.879811577485995,1.1,16045000.0,842789000.0,56.5,5.27788969419514,41.908147859543206,49.2139040037545,1180069.0,68.515
Timor-Leste_2014,0,47.723,91.4951735469295,3000.0,33905491.522696,932354444.444444,7.003577817531309,40.4,71.7,0.39839162918112,1.14,20000000.0,940000000.0,54.5,5.492154558650732,42.2871880832239,49.21968963848761,1212107.0,67.869
